# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
8.255995643876259393e-01 7.300113264845967365e+01 1.055728227007507414e+01 5.768971820671771056e-01 -9.032728644310573145e+03 -5.624420961920057380e+03 -1.707437836586882668e+03 1.542402822753116425e+02 1.206624870607344565e+04 -2.068310888900565918e+12 -4.534120504098585513e+01
3.878172308621405939e+00 8.720895822347934256e+01 2.346962644986087554e+01 8.321943866907547260e+01 -9.054235951461570949e+03 -5.719520411647385117e+03 -1.838189605596526235e+03 1.513395426372676695e+02 1.190706505588968503e+04 -1.617563032186497803e+12 -4.534120504098585513e+01
1.861301041091497410e+00 8.740577527523501544e+01 1.387577713641456256e+01 7.060964676093963988e+01 -9.103600206247991082e+03 -5.675684155659908356e+03 -1.942370864387603888e+03 1.579620808821503033e+02 1.195921771029236152e+04 -1.603465312052288574e+12 -4.534120504098585513e+01
1.365189372713609117e+01 7.183894118869136491e+01 1.149154647007595997e+01 6.164601363773622467e+01 -1.074386279397937869e+04 -5.675891266494239062e+03 -1.876286064536169306e+03 1.853110858443149596e+02 1.103664947542416485e+04 -1.511631969663022705e+12 -4.534120504098585513e+01
6.918605912523167589e+00 8.315686530502446772e+01 3.582725538745247462e+01 6.175567076510017728e+01 -1.098995539768798699e+04 -5.765269681780263454e+03 -1.928986278286321976e+03 1.550387686652298953e+02 1.145381882217884049e+04 -1.262401721929476074e+12 -4.534120504098585513e+01
5.077175025212116388e+00 6.323391764506418156e+01 6.696607489928698698e+00 7.417383989556972779e+01 -1.076390552304771518e+04 -5.815424868741978571e+03 -1.874515412790577102e+03 1.599538101364100839e+02 1.121939170263485903e+04 -1.189079538439710938e+12 -4.534120504098585513e+01
1.004204061354550781e+01 7.288074918567477312e+01 1.798621584134889417e+01 8.772335928117774984e+01 -9.294251105225159336e+03 -5.714518770922075419e+03 -1.845512544508100518e+03 1.496409498589147518e+02 1.192299850007905479e+04 -1.072635782059480225e+12 -4.534120504098585513e+01
1.831841686323911489e+01 6.274213999702851652e+01 2.186259790823524796e+01 5.459268927948411232e+01 -9.388138183011251385e+03 -5.463233070751567539e+03 -1.848712188181484407e+03 1.743330311374355119e+02 1.199265955285167729e+04 -9.817636920141982422e+11 -4.534120504098585513e+01
4.423354708911237942e+00 6.828042760239203801e+01 3.147528728030691525e+01 6.636865447775110738e+01 -9.324948583976987720e+03 -5.660360525684513959e+03 -1.714069767883439454e+03 1.231406028766138547e+02 1.194812604065306186e+04 -9.702155111418436279e+11 -4.534120504098585513e+01
9.788951242300935718e+00 8.163997249609491291e+01 3.202300496567676902e+01 2.138545905442861184e+01 -1.065444768687839678e+04 -5.628837018820668163e+03 -1.920097359928426840e+03 1.717868247929377787e+02 1.126475431997127453e+04 -9.171662516983035889e+11 -4.534120504098585513e+01
