# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
5.331128168487426766e-01 7.827506942907423593e+01 1.892549144726727306e+01 7.374247388261656155e+00 -1.022143564079520002e+04 -5.726843531721403451e+03 -1.846626859056411604e+03 1.514622293487452680e+02 1.182071370820237098e+04 8.218547909869926116e+01 -4.534120504098585513e+01
5.171839898170942362e-01 7.834161607155492391e+01 1.855382735883755885e+01 7.769790135671202691e+00 -1.032442737278248569e+04 -5.776721055603695277e+03 -1.860443841731782186e+03 1.521307222935824939e+02 1.192301581212875317e+04 8.427330551473504272e+01 -4.534120504098585513e+01
5.431332013968417360e-01 7.832988659621163663e+01 1.888601213047402538e+01 7.660009683411895587e+00 -1.025421625104026680e+04 -5.741407226808281848e+03 -1.852217344381660041e+03 1.521821562036635669e+02 1.185278262813263427e+04 8.450787768582273429e+01 -4.534120504098585513e+01
5.706035107769017456e-01 7.834407644751580335e+01 1.864264219798504385e+01 6.362137437475921864e+00 -9.718666552492848496e+03 -5.488462856553171150e+03 -1.774065272177797397e+03 1.461902305609337986e+02 1.132324088284286518e+04 8.498896795432479223e+01 -4.534120504098585513e+01
5.683859770964850844e-01 7.841577078875945972e+01 1.885198801469016061e+01 6.868283079529166280e+00 -9.680493670945501435e+03 -5.469815744352673391e+03 -1.768964747654691337e+03 1.459940591471160758e+02 1.128526817252996807e+04 8.519346321202699812e+01 -4.534120504098585513e+01
5.779538132615226198e-01 7.840772281741656968e+01 1.895266283474398605e+01 6.129712439177553485e+00 -9.891366120868678991e+03 -5.568456667436489624e+03 -1.800720031191486441e+03 1.487273438352349046e+02 1.149341981129604210e+04 8.567791131638695390e+01 -4.534120504098585513e+01
5.435309425391029459e-01 7.829063551791017517e+01 1.869647934313271875e+01 7.047335255898652839e+00 -1.012454104313859716e+04 -5.680236088315449706e+03 -1.833198158422138249e+03 1.507045047183864028e+02 1.172457993040531437e+04 8.614344688794335525e+01 -4.534120504098585513e+01
5.704076516962609533e-01 7.833107166852667547e+01 1.882427320371703772e+01 6.144028884233396326e+00 -9.880056093900879205e+03 -5.564840207139662198e+03 -1.797500353690782504e+03 1.479313522923434903e+02 1.148289111346944082e+04 8.619545802344539709e+01 -4.534120504098585513e+01
5.340874866757642225e-01 7.834906588053085841e+01 1.877080285246117697e+01 7.861057761259935717e+00 -1.022894368144514920e+04 -5.730435066635254771e+03 -1.847649226385444763e+03 1.515241556580306792e+02 1.182815726864836688e+04 8.620046227714954057e+01 -4.534120504098585513e+01
5.476279704743756138e-01 7.829824989793439727e+01 1.874722851987337435e+01 6.658024447077667496e+00 -1.045397136646204126e+04 -5.834835763906168722e+03 -1.882321459925558429e+03 1.547806947201093521e+02 1.204994217722707435e+04 8.631701090001708110e+01 -4.534120504098585513e+01
