# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
1.063453388058950821e+01 6.853719072478497765e+01 3.476492762965283845e+01 4.188966569193868850e+01 -1.076774955455671625e+04 -5.796920172965308666e+03 -1.764363900050339907e+03 1.432163048159926007e+02 1.213264598295251562e+04 -7.159446634187341309e+10 -4.534120504098585513e+01
4.417742063375228456e-01 8.949174295379393129e+01 1.520461635818572610e+01 9.541519692736824254e+01 -9.952771902676047830e+03 -5.693427599636347622e+03 -1.827034408236070931e+03 1.862870525868269738e+02 1.180697698247584049e+04 -9.677089589079460144e+10 -4.534120504098585513e+01
1.414879741974363370e+01 8.035514340538995270e+01 3.183527433019299480e+01 8.949066437443491395e+01 -9.739373559164605467e+03 -5.650336069034736283e+03 -1.925434663791122148e+03 1.363129366282520607e+02 1.203982349517687544e+04 -4.227763993149451294e+11 -4.534120504098585513e+01
1.523207905507347881e+01 7.640486260878707014e+01 3.862132684506257618e+01 1.383919673796902394e+01 -1.029126089291819153e+04 -5.434783274940816227e+03 -1.912865882408486641e+03 1.468155813333205231e+02 1.154236836185093671e+04 -1.655533751036400452e+11 -4.534120504098585513e+01
5.113193929951687089e+00 6.148660940055675894e+01 3.120835977002443329e+01 4.226492313798141609e+00 -1.054063674977795381e+04 -5.482149579507616181e+03 -1.764472297824156385e+03 1.538464718868184491e+02 1.162001620088056552e+04 -3.072241835312627563e+11 -4.534120504098585513e+01
1.307374138118961149e+01 7.139873769374210610e+01 3.384924091230794829e+01 7.523319281281027315e+01 -9.708723014987772331e+03 -5.884622196318374336e+03 -1.903808671872873902e+03 1.494340592018517953e+02 1.102494190521326709e+04 -4.923070722248414612e+10 -4.534120504098585513e+01
1.641265910368675307e+01 7.171454905896119669e+01 3.255254305546523597e+01 7.597667305342217503e+01 -1.023191085360081888e+04 -5.592063073480603634e+03 -1.763073483497414372e+03 1.825890720745208000e+02 1.186274420037514938e+04 -2.454197540993727684e+09 -4.534120504098585513e+01
8.877621683040496592e+00 8.433048149415483863e+01 6.791544641436287222e+00 5.728307465447228708e+01 -1.046592028113532433e+04 -5.682022303752151856e+03 -1.931808635515519654e+03 1.714808678398155450e+02 1.192145741012699546e+04 -1.937788835311202240e+10 -4.534120504098585513e+01
1.802331695112791010e+01 8.993528414586954511e+01 1.127634866431851179e+01 3.205072912879109737e+01 -1.050169200443771842e+04 -5.436232453853976949e+03 -1.731198817489835619e+03 1.694952855660297075e+02 1.118230740500678803e+04 -8.183574956902617188e+11 -4.534120504098585513e+01
1.424003123196134446e+01 6.717882072686430206e+01 3.843778749409768380e+01 3.959155568634130873e+01 -9.819145465122142923e+03 -5.801643023459176220e+03 -1.796383314496935327e+03 1.225155558252930064e+02 1.143555156969265772e+04 -1.370590217470549107e+09 -4.534120504098585513e+01
