# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
7.259150413935712365e+00 8.461834769474512541e+01 6.183268824236790806e+00 5.463790726092098993e+01 -9.019083716097939032e+03 -5.785496346878147051e+03 -1.790277154087806139e+03 1.888018386286880173e+02 1.219624638560918720e+04 -1.193309423297161133e+12 -4.534120504098585513e+01
8.878193500491407875e+00 8.942116174771170733e+01 3.386173106261796129e+00 6.965383911850138077e+01 -9.038585972255661545e+03 -5.594919721288473738e+03 -1.893109143344393033e+03 1.652268752856377603e+02 1.216655252084136009e+04 -1.008138112730410889e+12 -4.534120504098585513e+01
1.372979743759045590e+01 6.683495809594916182e+01 1.539335985235500104e+01 8.279200900958898046e+01 -9.192867080327370786e+03 -5.895180882456802465e+03 -1.833489775569491485e+03 1.785529670271260443e+02 1.206187473369627332e+04 -7.985678286427435303e+11 -4.534120504098585513e+01
9.931631113849885395e+00 7.885182487477480606e+01 1.049511924984060407e+01 3.563038004119829338e+01 -9.230042831918071897e+03 -5.578365289634667533e+03 -1.883746315216867060e+03 1.435533094063996202e+02 1.215268697814730149e+04 -7.069839144869426270e+11 -4.534120504098585513e+01
1.296003596095907540e+01 8.867669562856858079e+01 2.463565984184662838e+01 3.709677961631967946e+01 -9.371802007325521117e+03 -5.899381112202452641e+03 -1.920355432399117262e+03 1.768922577585949227e+02 1.209760767042822954e+04 -6.235440915991865234e+11 -4.534120504098585513e+01
1.855355115169234281e+01 6.201205335098634919e+01 6.886825527623525289e+00 1.671159026889666421e+01 -9.281827229768052348e+03 -5.748181869308681598e+03 -1.823338914048386641e+03 1.417388601794411045e+02 1.204020852749688311e+04 -5.786657453236425781e+11 -4.534120504098585513e+01
1.797649208250577502e+01 8.829858213097796238e+01 1.783289186832379869e+01 9.589111610350654757e+01 -9.448836960005613946e+03 -5.619306899644439000e+03 -1.941550041941465224e+03 1.675983002311328391e+02 1.217548576932113247e+04 -5.397566973610063477e+11 -4.534120504098585513e+01
1.593638429767139897e+01 6.969168696984887390e+01 1.576618823406043113e+01 5.996822900098197806e+01 -9.303141579769435339e+03 -5.727856841596785671e+03 -1.774045295524018911e+03 1.638070335504885122e+02 1.198381854255331018e+04 -5.395119171748435059e+11 -4.534120504098585513e+01
6.129970447702424607e+00 8.801676252476040929e+01 1.807839435346179258e+01 2.137067545779367705e+01 -1.062158140801074478e+04 -5.592741300125966518e+03 -1.909668802381135038e+03 1.308923482610902056e+02 1.114521186806364130e+04 -5.291771571394113770e+11 -4.534120504098585513e+01
1.273039554424343400e+01 6.708025896115988473e+01 3.227170061873167839e+01 1.727807067036107824e+01 -9.358972275280355461e+03 -5.756644367259558749e+03 -1.930910952234226215e+03 1.710129237855018118e+02 1.201114984835546056e+04 -5.121654619594176636e+11 -4.534120504098585513e+01
