# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
5.159236955182164852e-01 7.814150135195812652e+01 1.835429910016607380e+01 7.269913994658502965e+00 -1.051667948646650621e+04 -5.867544576086952475e+03 -1.888462078856081689e+03 1.542807788178348289e+02 1.211310802396264080e+04 1.527680956455931494e+02 -4.534120504098585513e+01
5.151121600992208949e-01 7.813448615820372822e+01 1.862000050743169410e+01 7.865894469065784378e+00 -1.040492792607712545e+04 -5.814692377544884039e+03 -1.872223964148340428e+03 1.530512536223116911e+02 1.200259556997105392e+04 1.558544761739225351e+02 -4.534120504098585513e+01
5.299036533998348064e-01 7.836531249214986872e+01 1.860893529575578853e+01 7.582462248510497105e+00 -1.008147132873413466e+04 -5.661185931233002520e+03 -1.825706242665291938e+03 1.497166474014079824e+02 1.168249000018224251e+04 1.569510449071688640e+02 -4.534120504098585513e+01
5.918055233535225446e-01 7.828212509090296578e+01 1.901007017283326661e+01 6.210826779738797043e+00 -9.863012298853562243e+03 -5.554834487421616359e+03 -1.796826555161197120e+03 1.484972474458245415e+02 1.146530247723876710e+04 1.580571585533599830e+02 -4.534120504098585513e+01
5.630609562255036726e-01 7.846888326933442670e+01 1.871043828190656555e+01 6.218750827248379132e+00 -1.002345453285335498e+04 -5.632573311990609909e+03 -1.818247659979502259e+03 1.495221778600059395e+02 1.162468755804938519e+04 1.581631699417654318e+02 -4.534120504098585513e+01
5.244592431034489355e-01 7.828039773653846112e+01 1.868863535345213478e+01 7.087821744954733383e+00 -1.029965930336979363e+04 -5.763483370185352214e+03 -1.858253040412020255e+03 1.524581125882604340e+02 1.189792950089755868e+04 1.581687594278421045e+02 -4.534120504098585513e+01
5.347531707938316670e-01 7.832533666672895833e+01 1.863977708712184622e+01 5.963098564133693991e+00 -1.028658234228441506e+04 -5.758473765974090384e+03 -1.855365301780266464e+03 1.518611773858863501e+02 1.188544946607146812e+04 1.583358285452747793e+02 -4.534120504098585513e+01
5.567773055993109343e-01 7.827249693207753012e+01 1.849593307912593687e+01 5.720294780294095993e+00 -1.039644532061994687e+04 -5.808669748414315109e+03 -1.873035588109439232e+03 1.537444060573828892e+02 1.199345018781656290e+04 1.585062667176733839e+02 -4.534120504098585513e+01
5.251254012883946887e-01 7.829525230591752916e+01 1.843677040078572560e+01 6.618834655849974880e+00 -1.048253386951182074e+04 -5.850415751492443633e+03 -1.884342075433871969e+03 1.542755637200361605e+02 1.207897879707172615e+04 1.588142709040991747e+02 -4.534120504098585513e+01
5.826348067995893443e-01 7.830862801708971688e+01 1.881221955346227048e+01 5.681204880298134086e+00 -9.880761683259524943e+03 -5.564877642555481543e+03 -1.797829689036378340e+03 1.480466616335254741e+02 1.148348760757382843e+04 1.588241608172963879e+02 -4.534120504098585513e+01
5.043092580044031825e-01 7.831316207822546005e+01 1.837605886455840221e+01 8.324793739498185019e+00 -1.038368784085890547e+04 -5.804803456637559975e+03 -1.868957011798460371e+03 1.527658534459631312e+02 1.198162608104538594e+04 1.590276878371784335e+02 -4.534120504098585513e+01
5.570382281813128778e-01 7.827588021028627452e+01 1.867152571944858508e+01 6.244285098623317154e+00 -9.926953635503441546e+03 -5.587047519591425043e+03 -1.804244677225578698e+03 1.484375468725987730e+02 1.152927300620542155e+04 1.592229707754152912e+02 -4.534120504098585513e+01
5.253470904922331597e-01 7.820923262458977376e+01 1.884956311802806894e+01 7.903444444428631144e+00 -1.040341152748067907e+04 -5.812352650028693461e+03 -1.873645878883480009e+03 1.536738168406940019e+02 1.200047261972190427e+04 1.592483645652190773e+02 -4.534120504098585513e+01
5.645884713423547918e-01 7.835874729196002875e+01 1.878536606630617811e+01 6.061272129067017289e+00 -1.020927367413843967e+04 -5.720356433805754023e+03 -1.845452326732000529e+03 1.515964325010848484e+02 1.180843399075549496e+04 1.592771803933771082e+02 -4.534120504098585513e+01
5.517388294474110388e-01 7.836070616061530814e+01 1.863956898200771661e+01 6.941397890074028965e+00 -1.002954138791331206e+04 -5.635773954342635079e+03 -1.818981106279879441e+03 1.494842507460812726e+02 1.163080063502436678e+04 1.596370462672733481e+02 -4.534120504098585513e+01
5.762907249212592120e-01 7.828897608113322804e+01 1.866899962193245344e+01 5.917435094940866058e+00 -9.867210270650364691e+03 -5.558281435840491213e+03 -1.796037332500819502e+03 1.479764780057476798e+02 1.147000141891516432e+04 1.602226439833448239e+02 -4.534120504098585513e+01
5.614959429073360653e-01 7.838971120950631644e+01 1.882294744893934535e+01 6.518501271881585346e+00 -9.887733271187977152e+03 -5.567995002030986143e+03 -1.798988575921620622e+03 1.482000074094966351e+02 1.149029584799826262e+04 1.602235112671065735e+02 -4.534120504098585513e+01
5.887950556294800908e-01 7.834606530618036402e+01 1.878374931926141755e+01 5.304514874476927488e+00 -9.824517760991962859e+03 -5.537404223893696326e+03 -1.790473847958084207e+03 1.477738471480613782e+02 1.142752436842271163e+04 1.603685302551861582e+02 -4.534120504098585513e+01
5.278902068975784845e-01 7.823301541596339348e+01 1.884806971344605131e+01 7.081496452819387777e+00 -1.058137037990601857e+04 -5.896921708070291061e+03 -1.899098384193883021e+03 1.554563584018693803e+02 1.217664737984619205e+04 1.603699943297255288e+02 -4.534120504098585513e+01
5.548553577317870689e-01 7.832593529141489341e+01 1.881611530974301871e+01 6.770953541753458538e+00 -1.006409291652191678e+04 -5.651621623235029801e+03 -1.824386231214127974e+03 1.500391708680151339e+02 1.166480730099662105e+04 1.606883751879731790e+02 -4.534120504098585513e+01
5.707137802596783382e-01 7.822483185944800255e+01 1.906059645454738316e+01 5.660620525952497317e+00 -1.021793994861689134e+04 -5.723550432075671779e+03 -1.847717078996170130e+03 1.520558654075538811e+02 1.181665396425237668e+04 1.607011404267589967e+02 -4.534120504098585513e+01
5.292349040484402023e-01 7.829153846810550021e+01 1.863027900775923840e+01 7.364109363710595879e+00 -1.053112263025604989e+04 -5.872895429739404790e+03 -1.892114482586296162e+03 1.550206063203873725e+02 1.212683096222722816e+04 1.607665615353444366e+02 -4.534120504098585513e+01
5.582403931471068281e-01 7.833560763111236724e+01 1.878698896340629432e+01 6.550177702957650894e+00 -1.023771353670694225e+04 -5.733873592923777323e+03 -1.849647723875324118e+03 1.518971721612520582e+02 1.183657001619886614e+04 1.607735846386696892e+02 -4.534120504098585513e+01
5.461695583425441036e-01 7.825742409845049963e+01 1.863226606024226939e+01 6.494556695095959675e+00 -1.042861998073895484e+04 -5.823436662848836022e+03 -1.878046248330872231e+03 1.542715793516305212e+02 1.202508989025189476e+04 1.608871011579248886e+02 -4.534120504098585513e+01
5.393138175579829108e-01 7.833700938387188728e+01 1.869895166460966607e+01 7.123003255218575802e+00 -1.016387322450917418e+04 -5.699958656496797630e+03 -1.837906901056391234e+03 1.507000447347495538e+02 1.176390643147416631e+04 1.609006148402472434e+02 -4.534120504098585513e+01
5.014442596530235274e-01 7.822064162074204319e+01 1.853970991785102740e+01 8.183275608297918779e+00 -1.041917709636113614e+04 -5.821645780631343769e+03 -1.874141478035063756e+03 1.531356550606187170e+02 1.201674769198029935e+04 1.609100152413631690e+02 -4.534120504098585513e+01
5.311611769001834960e-01 7.828152860626815368e+01 1.873547995225657914e+01 6.323681377953643157e+00 -1.020086736575151008e+04 -5.717530441780966612e+03 -1.843171103717365440e+03 1.510713259914851960e+02 1.180053014954107675e+04 1.609938927218285016e+02 -4.534120504098585513e+01
5.373534987918929806e-01 7.831711952319969328e+01 1.858647227121590362e+01 7.968471983336573139e+00 -1.025663182202559983e+04 -5.743582427148039642e+03 -1.851609748017986249e+03 1.518082031914647416e+02 1.185556004107831723e+04 1.611056436471378390e+02 -4.534120504098585513e+01
5.096503027867383961e-01 7.814093422373893816e+01 1.845851403617999154e+01 8.455991260586534608e+00 -1.053381847575125721e+04 -5.875670272926266989e+03 -1.891079269495798371e+03 1.544675733515770730e+02 1.213006399446780597e+04 1.611242875363331848e+02 -4.534120504098585513e+01
5.702006980821755500e-01 7.829137541712802317e+01 1.884328681736009514e+01 5.444568642737468878e+00 -1.007124876235885313e+04 -5.654151567709570372e+03 -1.826289184571729265e+03 1.504535506968477421e+02 1.167156146448951586e+04 1.611268289196686112e+02 -4.534120504098585513e+01
5.132451508886024527e-01 7.824461790077333490e+01 1.827446193832899723e+01 6.829566408645020736e+00 -1.048560924952864843e+04 -5.852947000907158326e+03 -1.883874911580066737e+03 1.539009934851456762e+02 1.208241600966292572e+04 1.611380196134133485e+02 -4.534120504098585513e+01
5.437511214085073430e-01 7.822250219938305804e+01 1.857057634051968975e+01 5.942187718260995233e+00 -1.035157689095757087e+04 -5.788892279544103985e+03 -1.865097263490138403e+03 1.526908158011400758e+02 1.194962137774900475e+04 1.611937831951812541e+02 -4.534120504098585513e+01
