# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
3.023288501675764905e+00 8.294391783158665987e+01 3.940055674853297774e+01 1.492513026269918441e+01 -1.030403070864417532e+04 -5.843897034144274585e+03 -1.819776665387079902e+03 1.510618646857139140e+02 1.217572938912115933e+04 -3.159831464871627808e+10 -4.534120504098585513e+01
1.107301026428622670e+01 8.735987936441600255e+01 3.072456315756471312e+01 8.873145170272403348e+00 -9.111843299601630861e+03 -5.896282166873233109e+03 -1.815690801020240542e+03 1.628976698592475145e+02 1.184128246272701472e+04 -6.375812761026031494e+11 -4.534120504098585513e+01
1.096533019181960888e+01 6.730896083625148663e+01 1.622572995688005548e+01 7.049316574097004207e+01 -1.045778686845238553e+04 -5.557244765022884167e+03 -1.878822864075289090e+03 1.395755097068547173e+02 1.120953850691667685e+04 -3.281343640933417358e+11 -4.534120504098585513e+01
1.806687800120052145e+01 7.506252695232154792e+01 3.963302789247427071e+00 5.847865507914117700e+01 -1.026118246992979402e+04 -5.712891125850826029e+03 -1.801855323533607816e+03 1.670974259253349885e+02 1.190444668476511833e+04 -1.687868756424355030e+09 -4.534120504098585513e+01
1.434422698681243169e+00 8.289793089672723170e+01 2.391611593532351776e+01 6.043270321177659099e+01 -1.030601519872577410e+04 -5.735806445754983542e+03 -1.734906383557550498e+03 1.377912352995849972e+02 1.183794635248082159e+04 -2.998876430693924427e+09 -4.534120504098585513e+01
1.612695284335559620e+01 6.039430993824750260e+01 2.551947256325798463e+01 8.446801616016621495e+01 -1.070288369945355589e+04 -5.425546582890891841e+03 -1.901359350972156562e+03 1.346015323890344462e+02 1.115991491057372150e+04 -6.348985304519298096e+11 -4.534120504098585513e+01
1.086488018650640086e+01 7.439967491719094994e+01 2.041385241064324063e+01 8.314239419844184908e+00 -1.081295539429099881e+04 -5.614884188013730636e+03 -1.748005738613593621e+03 1.290591904463317690e+02 1.171407771025811599e+04 -2.514773622969115906e+11 -4.534120504098585513e+01
1.883457503344862838e+00 6.778898313738532977e+01 1.841580446460440967e+01 5.763998969703290243e+01 -1.092771516002953285e+04 -5.452937510717833902e+03 -1.888366568150857574e+03 1.795437116308594625e+02 1.150911448775602912e+04 -4.594732835988814087e+11 -4.534120504098585513e+01
7.763600475363145570e+00 6.867379822828188196e+01 3.089073522720299891e+01 8.690803617751598154e+01 -1.046588248509748882e+04 -5.859049253186066380e+03 -1.747138324640672636e+03 1.578395333140871060e+02 1.158285273042578774e+04 -8.067264251665556335e+10 -4.534120504098585513e+01
8.534810737802208891e+00 8.002638552521371196e+01 3.581849226205263648e+01 3.182725869295797239e+01 -1.082716375681308273e+04 -5.616221437866523956e+03 -1.863837474081068876e+03 1.473760885509848322e+02 1.125665080750425659e+04 -6.028144716149921875e+11 -4.534120504098585513e+01
8.993764192550269598e+00 7.811288310990840955e+01 5.660709999195873365e+00 3.076383202717640586e+01 -9.989928283158582417e+03 -5.854956177220988138e+03 -1.884419426738189486e+03 1.215317726691165632e+02 1.110316587904613334e+04 -9.070010383988165283e+10 -4.534120504098585513e+01
1.081661131812997922e+01 7.396796707415656158e+01 1.309777276794047651e+01 4.005467458195851549e+01 -9.798209273851944090e+03 -5.885040192193258918e+03 -1.748477585186464012e+03 1.863636837209940609e+02 1.114824216718953721e+04 -8.530920188411108971e+09 -4.534120504098585513e+01
4.782076662439418868e+00 7.969865326156208596e+01 4.163864463492823020e+00 5.218397648824308988e+01 -9.691121857555375755e+03 -5.569694246292429852e+03 -1.798958825709828261e+03 1.500087813961601739e+02 1.129749756418942707e+04 -4.258895209776566029e+08 -4.534120504098585513e+01
1.302797298365037193e+01 8.459977689734039075e+01 1.343334174126725955e+00 4.516606763761881638e+00 -1.016972118220987068e+04 -5.550148616030155608e+03 -1.912791348986206231e+03 1.811404113307322632e+02 1.199694841668709341e+04 -2.190735469289190674e+10 -4.534120504098585513e+01
1.689000490314644054e+01 6.366832867387803674e+01 2.211810841001205219e+01 2.561676748007304738e+01 -1.018740423348469812e+04 -5.524661615679751776e+03 -1.780798752659500678e+03 1.447022988568206472e+02 1.202649235460842101e+04 -1.365479348876247787e+10 -4.534120504098585513e+01
5.652555558945915770e+00 7.696786617434273126e+01 3.444963237149528368e+01 8.873351907981741249e+01 -9.875136355493348674e+03 -5.476735228120584907e+03 -1.821876083655641651e+03 1.898568468896278318e+02 1.195627884038155935e+04 -1.045171395952379761e+11 -4.534120504098585513e+01
