# A phi l a0 a1 a2 a3 a4 a5 logL logPrior
5.449493978008537187e-01 5.473079736232238979e+00 1.268503572865618167e+01 2.580460660332294538e+03 -4.401961651664324563e+03 8.234446903991096406e+03 -9.217781428487947778e+03 4.360279941733438136e+03 -9.707834035772831385e+02 -8.832747967113048096e+11 -3.959344711998390665e+01
7.870117311199729127e-01 7.529318984726439901e+00 1.163956792946759755e+01 2.584010892494906784e+03 -4.412732242014450094e+03 8.119886924671158340e+03 -9.223703572203496151e+03 4.480433208482239934e+03 -9.211749946560727267e+02 -8.222609318969333496e+11 -3.959344711998390665e+01
9.801958993641968210e-01 7.803751374002863450e+00 1.110848675138577057e+01 2.505103289618952203e+03 -4.002417068374025803e+03 8.705940751674632338e+03 -8.539905497956791805e+03 4.869818834047890959e+03 -8.656178531324381993e+02 -5.358063617780402832e+11 -3.959344711998390665e+01
6.796710161051878751e-01 6.326138062735140899e+00 1.376941374734538925e+01 2.681916632201195171e+03 -4.381951190202604266e+03 8.217999790866750118e+03 -9.108681243058283144e+03 4.379284525883054812e+03 -8.476899790799301400e+02 -4.096237163493729858e+11 -3.959344711998390665e+01
2.395341730129659508e-01 5.898921720830776927e+00 1.102878278972524129e+01 2.678744182135074425e+03 -3.952041589773732539e+03 9.147389284921970102e+03 -8.787150634857185651e+03 4.267463072199773706e+03 -9.125593097942826262e+02 -3.490880283023816528e+11 -3.959344711998390665e+01
7.125153154395899580e-02 7.317752897908683885e+00 1.201186082034129754e+01 2.538675493150226885e+03 -4.325002405695034213e+03 9.039266368570315535e+03 -8.718738772696342494e+03 4.789967870032804967e+03 -8.442543502448420440e+02 -3.336020943548828735e+11 -3.959344711998390665e+01
4.302994090256810900e-01 6.856639267608766630e+00 1.251427589224648429e+01 2.661761336545135691e+03 -4.495275434991322072e+03 8.123536720950127346e+03 -8.676129570943578074e+03 4.394639691953299007e+03 -9.495280452509813358e+02 -3.217291034177866211e+11 -3.959344711998390665e+01
7.833403054841110436e-01 7.425368370980507393e+00 1.105964113778616209e+01 2.529781807975523407e+03 -4.273160240917253759e+03 8.107911309796031674e+03 -8.640648108996403607e+03 4.343413234944759097e+03 -9.677313764104774236e+02 -2.938167823160823975e+11 -3.959344711998390665e+01
6.835417048691585507e-01 6.097447205590492025e+00 1.190327341636069036e+01 2.678218245031918286e+03 -4.038560655167061213e+03 8.267467405214445535e+03 -9.338203099389213094e+03 4.332253242723150834e+03 -8.171110333147344136e+02 -2.627725445728340149e+11 -3.959344711998390665e+01
8.289020859523705820e-01 6.787790195331761645e+00 1.357897833070456706e+01 2.556450394878457701e+03 -3.985681691111201417e+03 8.994288549073944523e+03 -8.645405751227284782e+03 4.395440977833894067e+03 -9.335188740080988055e+02 -2.523827392279507751e+11 -3.959344711998390665e+01
6.042747067206414441e-02 5.402733800537622422e+00 1.353914494761913900e+01 2.584030823365618289e+03 -4.191359028940699318e+03 8.134037081946568833e+03 -8.580749581232001219e+03 4.201960935347872692e+03 -9.916483249825298572e+02 -2.363067533935661316e+11 -3.959344711998390665e+01
4.808749031367823279e-01 5.543554597024647812e+00 1.228593210787588141e+01 2.540013254580901958e+03 -3.948737212865208676e+03 8.267422822067481320e+03 -9.050429397418760345e+03 4.307299558387214347e+03 -9.592168240742436183e+02 -2.284038866641612854e+11 -3.959344711998390665e+01
7.988563057379282073e-01 7.641002231549148149e+00 1.305907891630104167e+01 2.618287831433357496e+03 -4.218459998127213112e+03 8.503991744822178589e+03 -9.043297919569638907e+03 4.236666251472815020e+03 -9.362940503902417504e+02 -2.253860945636469727e+11 -3.959344711998390665e+01
5.930988305581268161e-02 5.514232154682127351e+00 1.397857018088431147e+01 2.571727175968131178e+03 -4.351687022914949921e+03 8.977785437761916910e+03 -8.775889774608474909e+03 4.872613497730367271e+03 -9.661938638551220038e+02 -2.038717157804621887e+11 -3.959344711998390665e+01
2.544685264403958591e-01 5.859982372836809006e+00 1.398550205912821198e+01 2.544535950150277586e+03 -4.299053113852874958e+03 8.859151075244131789e+03 -8.765840876638023474e+03 4.880578543701364651e+03 -9.118804614440725800e+02 -1.970055292171832275e+11 -3.959344711998390665e+01
8.393607195468553162e-01 7.352391330257985302e+00 1.168122557185490074e+01 2.679871116888216875e+03 -4.278700646971567949e+03 8.166693820070177935e+03 -9.095565793011190181e+03 4.530910106110968627e+03 -8.183271529362855290e+02 -1.962969670142389832e+11 -3.959344711998390665e+01
2.767281889661414307e-01 5.137201645394171123e+00 1.209333345533527471e+01 2.635669736403658590e+03 -4.142850531367444091e+03 8.828051659113971255e+03 -8.625331254046899630e+03 4.454443821134304926e+03 -8.593170008128219024e+02 -1.857601768937545776e+11 -3.959344711998390665e+01
