# A phi l a0 a1 a2 a3 a4 a5 logL logPrior
5.336689809359379533e-02 5.435490684124343552e+00 1.217708808775843998e+01 2.655563631687905399e+03 -4.360761076833445259e+03 8.970271021318167186e+03 -9.301829511406029269e+03 4.732152798930777863e+03 -9.451829032564700128e+02 8.622742029091590155e+00 -3.959344711998390665e+01
5.748251029429230635e-02 6.166464707858963834e+00 1.239566664999028056e+01 2.612980125887665508e+03 -4.135695367337843891e+03 8.500316732856656017e+03 -8.817030770047305850e+03 4.484949809114738855e+03 -8.953120212157135711e+02 1.303397447723977010e+01 -3.959344711998390665e+01
5.441660927494946370e-02 5.176275744879578866e+00 1.210062065227245576e+01 2.638209114037035761e+03 -4.270016820397142510e+03 8.782906667780815042e+03 -9.110784654389672141e+03 4.635913343919703948e+03 -9.260147427880471014e+02 1.400239142228933709e+01 -3.959344711998390665e+01
5.335117152476177849e-02 5.504453592419855212e+00 1.217856301429544352e+01 2.636666153074947943e+03 -4.261494911282422436e+03 8.764911826382296567e+03 -9.092676287269627210e+03 4.627267050563198609e+03 -9.244612944771288312e+02 1.513505463983168653e+01 -3.959344711998390665e+01
5.847517039025572350e-02 6.071547263870025191e+00 1.237067101561961913e+01 2.617569531986538550e+03 -4.159933376019519528e+03 8.550599544327653348e+03 -8.868258591210260420e+03 4.510597195867429036e+03 -9.003659758989999773e+02 1.535393355052232067e+01 -3.959344711998390665e+01
5.646645279349546409e-02 5.161364404761354052e+00 1.209266618922887382e+01 2.638462056985308209e+03 -4.270181655720112758e+03 8.781212614606120042e+03 -9.107383864708712281e+03 4.633562852254851350e+03 -9.254588625039274348e+02 1.584235584349327475e+01 -3.959344711998390665e+01
5.594731795117827144e-02 5.784125716280645868e+00 1.227128895675575038e+01 2.620992760681569962e+03 -4.179916862961067636e+03 8.596766464219259433e+03 -8.921015050047750265e+03 4.540405049649092689e+03 -9.070227225381773906e+02 1.587836993619939818e+01 -3.959344711998390665e+01
5.680311159649324704e-02 5.643682858207398567e+00 1.222273074110427338e+01 2.625750074726870935e+03 -4.200651842028253668e+03 8.630718227451096027e+03 -8.946292145295987211e+03 4.548289030929377077e+03 -9.076020339925360076e+02 1.637139674241114662e+01 -3.959344711998390665e+01
5.495000015238992591e-02 5.519743934608322355e+00 1.217874714909354594e+01 2.625560356835381754e+03 -4.202507347747924541e+03 8.641045601715097291e+03 -8.964098776931401517e+03 4.561253437471884354e+03 -9.110412966675382904e+02 1.675874241398666342e+01 -3.959344711998390665e+01
5.945335937758137318e-02 5.637163979769036715e+00 1.224813538435517835e+01 2.613820535933097744e+03 -4.137636131993464005e+03 8.499125202400378839e+03 -8.810564342508103437e+03 4.479184138706656086e+03 -8.937108576012036565e+02 1.710853177777206824e+01 -3.959344711998390665e+01
5.915106535910460983e-02 6.017054894274785681e+00 1.236030057155404727e+01 2.626905309640482756e+03 -4.207256840941464361e+03 8.645305743029344740e+03 -8.962014207488549800e+03 4.556641381646473747e+03 -9.093640421646956611e+02 1.714710717281693064e+01 -3.959344711998390665e+01
5.437585943966204843e-02 5.836998907487561894e+00 1.230597917079064985e+01 2.635775812273748670e+03 -4.257425970302529095e+03 8.757342866036862688e+03 -9.085305415234261091e+03 4.623428081015464159e+03 -9.236036770101118236e+02 1.718942675449048352e+01 -3.959344711998390665e+01
5.505399902571391640e-02 5.943539766485897324e+00 1.232283652296936260e+01 2.629115275377304897e+03 -4.217484279111432443e+03 8.663533695183070449e+03 -8.977407826907774506e+03 4.562622900851324630e+03 -9.101644730961276082e+02 1.722637303084826144e+01 -3.959344711998390665e+01
5.413372342599485909e-02 5.564731853492468794e+00 1.219071037030236582e+01 2.624635418441389902e+03 -4.196177188891944752e+03 8.624343989948087255e+03 -8.942808234076277586e+03 4.548120556345465047e+03 -9.079013967211245699e+02 1.726290784654291954e+01 -3.959344711998390665e+01
5.580955936787179023e-02 5.833851306701924422e+00 1.231678127852126892e+01 2.634495856992023619e+03 -4.250071801868411058e+03 8.740409324601254411e+03 -9.065916314848824186e+03 4.612441765672444490e+03 -9.211460641520656054e+02 1.744891955032939990e+01 -3.959344711998390665e+01
