# A phi l a0 a1 a2 a3 a4 a5 logL logPrior
2.088936113284697027e-01 7.321304460232084921e+00 1.107996451113061909e+01 2.557275117054526163e+03 -4.158991518059647206e+03 8.199801141535408533e+03 -8.663536685898505311e+03 4.734149485601364177e+03 -9.600520975210362167e+02 -1.104265833720406723e+10 -3.959344711998390665e+01
3.083982250983559048e-01 7.838715860569570815e+00 1.331256774397202491e+01 2.651812882251107112e+03 -4.182375143997736814e+03 8.449416421192539929e+03 -9.323059523278121560e+03 4.280638619187739096e+03 -8.199490616895791391e+02 -2.930821796875587158e+11 -3.959344711998390665e+01
5.427487312745807868e-01 6.013028056484443162e+00 1.299911388072254859e+01 2.541767477566840171e+03 -4.181499180701584919e+03 8.832307764515882809e+03 -8.588896900833668042e+03 4.625915622325187542e+03 -9.128842625982247228e+02 -1.930552103806665955e+11 -3.959344711998390665e+01
2.028388130037387660e-01 7.434138017319100733e+00 1.360063432563335617e+01 2.576087085929016212e+03 -4.257233579183914117e+03 9.177633869240984495e+03 -8.782134569080979418e+03 4.337054752030758209e+03 -8.459953189024505491e+02 -1.252038044754666595e+11 -3.959344711998390665e+01
8.670110810328891526e-01 6.323991813557135799e+00 1.349807539402477552e+01 2.593825592482950015e+03 -4.308862689444640637e+03 8.209491990824944878e+03 -8.826209033481958613e+03 4.821819771757620401e+03 -8.070836373339851662e+02 -3.469337787001943970e+10 -3.959344711998390665e+01
2.057327453974546749e-01 6.563455539799762484e+00 1.258031663567054537e+01 2.568544729597098922e+03 -4.097122450102635412e+03 9.162396395882873549e+03 -8.726501843628242568e+03 4.346992211062586648e+03 -9.375568483910689110e+02 -2.029319146277712708e+11 -3.959344711998390665e+01
5.414332510168857748e-01 5.465341825061345915e+00 1.194334141946596439e+01 2.548752661393981725e+03 -3.993469236970950533e+03 8.961107916530794682e+03 -8.819596792792341148e+03 4.238447903256978861e+03 -8.983963368041269177e+02 -6.033045852062128448e+10 -3.959344711998390665e+01
2.081838283576754600e-01 6.579807304314716276e+00 1.108256262415204851e+01 2.637717521489531009e+03 -4.066920706325755873e+03 8.306247905032529161e+03 -8.794857145037207374e+03 4.619460422586924324e+03 -8.275567875240195690e+02 -1.337164580633602333e+10 -3.959344711998390665e+01
5.286908441998164898e-01 6.764863463731016324e+00 1.213671101260802665e+01 2.547254141933012306e+03 -4.044223816983346296e+03 9.122793169612546990e+03 -8.879228048119177402e+03 4.446087816382142591e+03 -8.651372345419820249e+02 -2.104844284526537170e+11 -3.959344711998390665e+01
7.582013550950662539e-01 6.299265794022979925e+00 1.157931933878639796e+01 2.658409211117626455e+03 -4.317684308214247721e+03 8.727864640176932880e+03 -9.367239863314105605e+03 4.624600951200606687e+03 -9.428113841307483654e+02 -8.361379554510980225e+10 -3.959344711998390665e+01
1.492238122008706647e-01 6.483763358121578335e+00 1.214965402214837376e+01 2.585821153383664750e+03 -4.035104541697495733e+03 9.156523912444226880e+03 -8.521999797215308718e+03 4.713421186437951292e+03 -9.323660121451056284e+02 -9.252966374433399658e+11 -3.959344711998390665e+01
9.802195913758225965e-01 4.762101885976846027e+00 1.278801238745996471e+01 2.519895714360395232e+03 -4.396456072624314402e+03 8.687962587344451094e+03 -8.875943117252496450e+03 4.549086563845346063e+03 -8.676776807810558694e+02 -2.824930312413549423e+10 -3.959344711998390665e+01
7.251230015974688969e-01 5.454780555203925907e+00 1.300923108355720359e+01 2.509811635374852358e+03 -4.004508971435465810e+03 8.542582519630399474e+03 -9.235691562283713210e+03 4.257119459310132697e+03 -9.129870057866505704e+02 -2.303749629350877686e+11 -3.959344711998390665e+01
1.831163122805106180e-01 6.052806478609249474e+00 1.190062687290518362e+01 2.516480608855471473e+03 -4.342639142705176710e+03 8.717471477403392782e+03 -8.976796442518032563e+03 4.772939095909866410e+03 -9.676963480615229400e+02 -1.234414288672985840e+10 -3.959344711998390665e+01
8.983274707546290427e-01 6.357627770104390841e+00 1.177060418641384665e+01 2.625704104346132681e+03 -4.169110388942661302e+03 8.838165188519273215e+03 -9.076298105859556017e+03 4.662930405635142051e+03 -9.673463473339935490e+02 -1.803290023163637161e+10 -3.959344711998390665e+01
7.684417770299690753e-01 5.189407245854823714e+00 1.151354853569555026e+01 2.603162470984096217e+03 -4.059257154145039749e+03 9.081940282837778796e+03 -9.370689156831516812e+03 4.326913460021062747e+03 -8.700248234136685141e+02 -1.570232871106201553e+10 -3.959344711998390665e+01
3.024284048550246462e-01 4.751958159956493510e+00 1.358063424184151735e+01 2.570507679631212341e+03 -3.975806852323484236e+03 8.629932589861302404e+03 -9.325693729997199625e+03 4.401107008660586871e+03 -8.766514025764752205e+02 -6.872686328359077454e+10 -3.959344711998390665e+01
9.528561392016151599e-01 4.815576787881227894e+00 1.324624561765283559e+01 2.677204377580807432e+03 -4.372173369903914136e+03 8.698211836006947124e+03 -9.367579394734017114e+03 4.564728613286717518e+03 -8.908344755056961048e+02 -1.190270791266748962e+11 -3.959344711998390665e+01
9.625793989135739137e-03 5.823553998315336599e+00 1.132147408269109867e+01 2.599123208353971222e+03 -4.186323269912186333e+03 9.060538764447850554e+03 -9.103389936346564355e+03 4.446716545639191281e+03 -8.455307548974554948e+02 -3.279462589124804306e+10 -3.959344711998390665e+01
5.349958809717662023e-01 4.995603218410120228e+00 1.169067517310218385e+01 2.583793555802477840e+03 -4.124671928242586546e+03 9.088340098955377471e+03 -9.210256318466457742e+03 4.237038272742101071e+03 -9.615670426076338799e+02 -3.194978503065532684e+10 -3.959344711998390665e+01
8.929579830718850086e-01 5.042132288912525517e+00 1.160836481519009311e+01 2.630170191558872375e+03 -4.168163717803912732e+03 8.842216820508007004e+03 -8.741334330788067746e+03 4.526677220938867322e+03 -8.881986332416911409e+02 -1.285909869836591949e+11 -3.959344711998390665e+01
7.754268051479122903e-01 7.808113484415778238e+00 1.196291036828856313e+01 2.632828748070626261e+03 -4.085554138389570198e+03 9.128438925169062713e+03 -8.685026241554636727e+03 4.220636406727848225e+03 -9.290642769654874655e+02 -1.964605379977515869e+11 -3.959344711998390665e+01
5.300146810980432832e-01 6.614270085542837130e+00 1.366934546180158172e+01 2.656631017380905178e+03 -4.487533772768487324e+03 8.899897029570491213e+03 -9.058141486177837578e+03 4.864976300824462669e+03 -9.639865196561638641e+02 -1.979488612810805893e+10 -3.959344711998390665e+01
3.921567948950695215e-02 6.876385177431405538e+00 1.380713850070467785e+01 2.569756211055531821e+03 -4.240716318677817071e+03 9.078709408484775850e+03 -8.652851774332733839e+03 4.321837846962051117e+03 -9.197156376909020992e+02 -9.728530263008096313e+10 -3.959344711998390665e+01
1.032929365376952374e-01 7.291947465175772969e+00 1.363224829394970072e+01 2.539460821444899921e+03 -4.452549931360681512e+03 8.638443365187360541e+03 -8.715353591200197116e+03 4.393364272612195236e+03 -9.880963755465859322e+02 -9.005382192300726318e+10 -3.959344711998390665e+01
6.612854290269271074e-01 5.989889694692172029e+00 1.191772524575067393e+01 2.614140569472084735e+03 -4.410478246583644250e+03 8.623210910585037709e+03 -8.924385397967009339e+03 4.787958495379210035e+03 -9.948605021362759544e+02 -9.547598906832609177e+09 -3.959344711998390665e+01
6.575232864231057850e-02 6.452899802154805187e+00 1.177530147545716410e+01 2.647534096289911304e+03 -3.967642483016741153e+03 8.640090810875406532e+03 -9.073583439058125805e+03 4.494821581370601962e+03 -8.487506072563369344e+02 -2.147939432692779922e+10 -3.959344711998390665e+01
8.681222127880154904e-01 7.801785402868627095e+00 1.287027220165175656e+01 2.507858632823505104e+03 -4.108784997746264708e+03 8.459428645378999136e+03 -9.296994399339668234e+03 4.348238694060657508e+03 -8.642469581562448866e+02 -3.182646770606397095e+11 -3.959344711998390665e+01
2.563136966313002141e-01 6.707071542616734661e+00 1.379013039788406658e+01 2.576078431342051772e+03 -4.188514465406795352e+03 8.891872785138759355e+03 -8.647489223737351494e+03 4.441932811624285932e+03 -9.685383867743483961e+02 -7.361480996801708984e+10 -3.959344711998390665e+01
7.172732023928010126e-01 6.474351762266378429e+00 1.382649883386187284e+01 2.690709822486536723e+03 -4.077974017016299968e+03 8.676745903966522746e+03 -9.081818743264100704e+03 4.419565003007340238e+03 -8.504801906997598735e+02 -7.813348734419049263e+09 -3.959344711998390665e+01
5.227913324990995925e-01 7.342999197867007943e+00 1.388048018848022203e+01 2.519829369480347850e+03 -4.303453104143065502e+03 8.688583810480526154e+03 -8.985593466510150392e+03 4.277524838123260452e+03 -8.284413180317033039e+02 -1.020052896715545349e+11 -3.959344711998390665e+01
3.752489954227373192e-01 6.561386741240383458e+00 1.357578599481262493e+01 2.638410778486816980e+03 -4.015017285345327309e+03 8.762315935598455326e+03 -8.697076600386662903e+03 4.806812964179216578e+03 -9.046667626848167174e+02 -4.552120965056450806e+11 -3.959344711998390665e+01
8.541066922137385831e-01 6.244714939911634843e+00 1.394479757349607496e+01 2.600126131713715495e+03 -4.495379642074489311e+03 8.944889460208367382e+03 -9.166215818784176008e+03 4.452969063065817863e+03 -8.399777004889294858e+02 -4.724379786649899292e+10 -3.959344711998390665e+01
4.323234080023396486e-01 6.763074508205997759e+00 1.326156188301794536e+01 2.667806876851158449e+03 -4.136709880647162208e+03 9.006702989961795538e+03 -9.393610630481334738e+03 4.620115265600382372e+03 -8.554045482542269383e+02 -2.412883342123254395e+10 -3.959344711998390665e+01
1.802062710352675401e-02 7.221023619575170471e+00 1.379782972572309596e+01 2.555302002534347139e+03 -4.437652480018363349e+03 8.777488375856222774e+03 -9.355589555735845352e+03 4.572401302150360607e+03 -8.069738979631282518e+02 -1.398937286648395386e+11 -3.959344711998390665e+01
5.400780201747973353e-01 5.863027350057978815e+00 1.289175998597934658e+01 2.686823397063736138e+03 -4.290844534549788477e+03 8.125458683547135479e+03 -9.098474476950599637e+03 4.713116857572052140e+03 -8.923854063679564206e+02 -1.610690928552088623e+11 -3.959344711998390665e+01
2.898222936925555770e-01 6.571171711530409354e+00 1.342630803114394311e+01 2.622831528197878924e+03 -4.137006753167947863e+03 8.827861683563276529e+03 -8.541281206203246256e+03 4.670973423025878219e+03 -9.348400347399472139e+02 -3.583723845561135254e+11 -3.959344711998390665e+01
4.530157257988763342e-01 6.663008066852569300e+00 1.318242126786704738e+01 2.508153149703492090e+03 -4.051891289540393245e+03 8.444483371109192376e+03 -8.937325466807169505e+03 4.585272792716819822e+03 -8.959462155621508828e+02 -9.069757392052675247e+09 -3.959344711998390665e+01
